"Issue Type","Summary","Description","Epic Name","Parent","Labels","Priority","Story Points","Milestone","Acceptance Criteria"
"Epic","Local LLM Runtime and Configuration","Enable reliable local model inference via configurable local runtime adapters without cloud dependency.","Local LLM Runtime and Configuration","","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","8","S12-M1","Local model runs in Docker/local host; backend can reach model; no mandatory cloud key required"
"Epic","Chatbot UI and Conversation Experience","Deliver embedded chatbot interaction with clear context and response presentation.","Chatbot UI and Conversation Experience","","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","8","S12-M1","Chat panel is accessible; user can ask and receive response; uncertainty and citations are visible"
"Epic","Evidence Retrieval and Context Assembly","Build retrieval pipeline that assembles relevant analysis artifacts before generation.","Evidence Retrieval and Context Assembly","","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","13","S12-M2","Retrieval includes scoped artifacts; metadata is preserved; token budget behavior is deterministic"
"Epic","Architecture Question Answering","Support architecture, endpoint, and dependency Q&A grounded in IR and graph evidence.","Architecture Question Answering","","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","8","S12-M2","Architecture answers cite IR/graph evidence; dependency paths are explained; missing evidence is qualified"
"Epic","Verification and Risk Question Answering","Provide Q&A over formal verification and Aegis risk outputs.","Verification and Risk Question Answering","","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","8","S12-M3","Verification and risk responses are evidence-grounded; confidence is shown; unsupported claims are refused"
"Epic","Change Impact and Testing Question Answering","Answer what changed and what to test using change, scenario, and test artifacts.","Change Impact and Testing Question Answering","","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","8","S12-M3","Change impact and test focus responses include evidence links and clearly stated assumptions"
"Epic","Guardrails, Confidence, and Explainability","Prevent speculation and expose confidence and source citations consistently.","Guardrails, Confidence, and Explainability","","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","8","S12-M2","Speculation is blocked when evidence is absent; confidence and citation blocks are always present"
"Epic","Persistence, Export, and Session Continuity","Maintain useful conversation state and export evidence-backed outputs.","Persistence, Export, and Session Continuity","","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Medium","5","S12-M3","Session continuity works in-app; exports include answer plus citations; staleness is indicated"
"Epic","Observability and Product Feedback","Add telemetry and feedback loops for quality and reliability improvements.","Observability and Product Feedback","","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Medium","5","S12-M4","Structured logs available; key metrics tracked; user feedback events captured"
"Epic","Developer Experience and Deployment","Enable repeatable local deployment, testing, and documented operations.","Developer Experience and Deployment","","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","8","S12-M4","Compose workflow and docs are complete; tests are runnable; release checklist is actionable"
"Story","S12-001 Configure model endpoint and model id via env","As a platform operator, I want env-driven model endpoint and id configuration, so that local backends can be swapped without code changes.","","Local LLM Runtime and Configuration","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","2","S12-M1","Given env vars are set; when service starts; then config loads and validates"
"Story","S12-002 Support Ollama llama.cpp and OpenAI-style local endpoints","As a developer, I want multiple local endpoint adapters, so that runtime can match hardware constraints.","","Local LLM Runtime and Configuration","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","3","S12-M1","Given provider selection; when query is sent; then correct local adapter is used"
"Story","S12-003 No cloud key required for core chatbot","As a security engineer, I want chatbot operation without cloud keys, so that sensitive analysis stays local.","","Local LLM Runtime and Configuration","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","2","S12-M1","Given cloud keys absent; when chatbot runs; then local-only flow still works"
"Story","S12-004 Runtime health visibility","As an end user, I want clear runtime status, so that I know when chatbot is unavailable.","","Local LLM Runtime and Configuration","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","1","S12-M1","Given runtime down; when health is checked; then actionable degraded status is shown"
"Story","S12-005 Embedded chatbot panel","As an end user, I want a chatbot panel in app, so that I can ask without leaving workflow.","","Chatbot UI and Conversation Experience","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","3","S12-M1","Given app open; when user opens panel; then chat UI is available"
"Story","S12-006 Show active context","As an end user, I want visible active system context, so that answers are interpretable.","","Chatbot UI and Conversation Experience","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","2","S12-M1","Given active system; when response renders; then scope indicator is shown"
"Story","S12-007 Preserve follow-up context","As an end user, I want follow-up continuity, so that iterative analysis is efficient.","","Chatbot UI and Conversation Experience","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Medium","2","S12-M2","Given prior turns; when follow-up asked; then context is retained within limits"
"Story","S12-008 Separate answer citations confidence blocks","As an end user, I want structured response sections, so that trust is faster to assess.","","Chatbot UI and Conversation Experience","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","2","S12-M2","Given response; when displayed; then answer citations and confidence are separated"
"Story","S12-009 Keyboard-friendly chat input","As a QA engineer, I want efficient keyboard behavior, so that testing flows are quick.","","Chatbot UI and Conversation Experience","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Medium","1","S12-M2","Given input focused; when Enter or Shift+Enter used; then submit/newline behavior is correct"
"Story","S12-010 Normalize evidence schema","As a developer, I want normalized evidence metadata, so that retrieval and citations stay consistent.","","Evidence Retrieval and Context Assembly","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","3","S12-M2","Given evidence ingestion; when normalized; then artifact type id and location metadata exist"
"Story","S12-011 Scope retrieval to active context","As an end user, I want retrieval scoped to active session, so that answers remain relevant.","","Evidence Retrieval and Context Assembly","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","2","S12-M2","Given active context; when retrieval runs; then cross-system artifacts are excluded"
"Story","S12-012 Hybrid retrieval structured plus semantic","As a developer, I want hybrid retrieval, so that exact and exploratory queries are both handled.","","Evidence Retrieval and Context Assembly","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","3","S12-M2","Given entity query; when retrieval runs; then structured match preferred else semantic ranking"
"Story","S12-013 Context refresh controls","As an operator, I want context refresh after reruns, so that chatbot uses latest artifacts.","","Evidence Retrieval and Context Assembly","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Medium","2","S12-M2","Given new pipeline outputs; when refresh called; then context index updates with status report"
"Story","S12-014 Deterministic context truncation","As a developer, I want deterministic token budgeting, so that behavior is debuggable.","","Evidence Retrieval and Context Assembly","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Medium","2","S12-M2","Given long context; when budget exceeded; then truncation policy is deterministic and reported"
"Story","S12-015 Architecture topology Q and A","As an architect, I want architecture Q and A, so that structure is quickly understood.","","Architecture Question Answering","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","3","S12-M2","Given IR/graph evidence; when topology question asked; then answer cites relevant architecture objects"
"Story","S12-016 Dependency path explanation","As a backend engineer, I want dependency paths, so that blast radius is assessable.","","Architecture Question Answering","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","3","S12-M2","Given graph links; when dependency question asked; then direct and transitive relations are cited"
"Story","S12-017 Endpoint-level Q and A","As a backend engineer, I want endpoint Q and A, so that endpoint behavior can be traced.","","Architecture Question Answering","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","2","S12-M2","Given endpoint evidence; when asked; then method path service and supporting links are returned"
"Story","S12-018 Anti-pattern aware architecture responses","As a security engineer, I want anti-pattern-aware answers, so that structural risks are highlighted.","","Architecture Question Answering","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Medium","2","S12-M2","Given anti-pattern markers; when architecture answer produced; then markers are surfaced with citations"
"Story","S12-019 Citation requirement for architecture claims","As an end user, I want citations for claims, so that statements are verifiable.","","Architecture Question Answering","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","2","S12-M1","Given architecture answer; when rendered; then at least one source citation is present"
"Story","S12-020 Verification findings Q and A","As a security engineer, I want verification findings Q and A, so that failures are quickly identified.","","Verification and Risk Question Answering","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","3","S12-M3","Given verification artifacts; when findings asked; then pass fail unknown summary is evidence-backed"
"Story","S12-021 Risk-focused Q and A","As a security engineer, I want risk questions answered, so that vulnerabilities are understood.","","Verification and Risk Question Answering","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","3","S12-M3","Given Aegis evidence; when risk question asked; then answer includes cited risk indicators"
"Story","S12-022 Consolidated verification plus risk summary","As an architect, I want combined findings summary, so that mitigation can be prioritized.","","Verification and Risk Question Answering","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Medium","2","S12-M3","Given both evidence types; when summary requested; then confirmed vs low-confidence findings are separated"
